5005, 31391, 0, 0, 1
5020, 31267, 0, 0, 1
5036, 31150, 0, 0, 1
5037, 31061, 0, 0, 1
5052, 31014, 0, 0, 1
5068, 31006, 0, 0, 1
5083, 31040, 0, 0, 1
5100, 31122, 0, 0, 1
5115, 31275, 0, 0, 1
5116, 31545, 0, 0, 1
5131, 31992, 0, 0, 1
5148, 32659, 0, 0, 1
5164, 33526, 0, 0, 1
5180, 34512, 0, 0, 1
5195, 35495, 1, 0, 1
5196, 36342, 0, 0, 1
5211, 36943, 0, 0, 1
5227, 37255, 0, 0, 1
5243, 37301, 0, 0, 1
5259, 37144, 0, 0, 1
5275, 36861, 0, 0, 1
5276, 36522, 0, 1, 1
5291, 36183, 0, 0, 1
5307, 35876, 0, 0, 1
5323, 35608, 0, 0, 1
5339, 35370, 0, 0, 1
5355, 35148, 0, 0, 1
5356, 34933, 0, 0, 1
5371, 34726, 0, 0, 1
5387, 34528, 0, 0, 1
5403, 34345, 0, 0, 1
5419, 34145, 0, 0, 1
5435, 33919, 0, 0, 1
5436, 33664, 0, 0, 1
5451, 33392, 0, 0, 1
5467, 33127, 0, 0, 1
5483, 32910, 0, 0, 1
5499, 32767, 0, 0, 1
5515, 32669, 0, 0, 1
5515, 32585, 0, 0, 1
5531, 32491, 0, 0, 1
5547, 32381, 0, 0, 1
5563, 32241, 0, 0, 1
5579, 32092, 0, 0, 1
5595, 31955, 0, 0, 1
5595, 31831, 0, 0, 1
5611, 31721, 0, 0, 1
5627, 31621, 0, 0, 1
5643, 31531, 0, 0, 1
5659, 31449, 0, 0, 1
5675, 31383, 0, 0, 1
5675, 31344, 0, 0, 1
5691, 31341, 0, 0, 1
5707, 31375, 0, 0, 1
5723, 31443, 0, 0, 1
5739, 31524, 0, 0, 1
5755, 31599, 0, 0, 1
5755, 31652, 0, 0, 1
5771, 31677, 0, 0, 1
5787, 31681, 0, 0, 1
5803, 31676, 0, 0, 1
5819, 31675, 0, 0, 1
