id,timestamp,index_x,index_y,index_z,pinky_x,pinky_y,pinky_z
1447452,86728566403,0.08007692,-0.1034374,0.380936,0.03213628,-0.1200167,0.4027812
1447455,86728586982,0.08001838,-0.1036542,0.3808913,0.03205547,-0.1197625,0.4027117
1447458,86728612184,0.07995065,-0.1037997,0.3807568,0.03195687,-0.1196928,0.4026597
1447461,86728638362,0.07999196,-0.103738,0.3806404,0.03204403,-0.119789,0.4025484
1447463,86728665568,0.07994515,-0.1035697,0.3804779,0.03207408,-0.1198928,0.4023104
1447467,86728693847,0.07983588,-0.1035173,0.3804932,0.03209004,-0.1202785,0.4023448
1447470,86728721521,0.07973623,-0.1030956,0.38032,0.0320165,-0.1200678,0.4022954
1447473,86728752213,0.07979248,-0.1028399,0.3801553,0.03203241,-0.1200005,0.4022507
1447476,86728776799,0.07976031,-0.1025884,0.380114,0.03201376,-0.1201342,0.4022597
1447478,86728803823,0.0799789,-0.1024623,0.3801364,0.03222021,-0.1202532,0.4024017
1447482,86728833971,0.08007967,-0.1020541,0.3797334,0.03239428,-0.1205615,0.4022908
1447485,86728860317,0.08020831,-0.102314,0.3794006,0.03286561,-0.1212583,0.4020123
1447488,86728886475,0.08046556,-0.1025782,0.3792504,0.03325994,-0.1216295,0.4019893
1447491,86728910036,0.08092775,-0.1027968,0.3792168,0.03373782,-0.1219817,0.4022119
1447493,86728935713,0.08207214,-0.1036715,0.3800244,0.03530299,-0.1236736,0.40307
1447497,86728963447,0.0841144,-0.1051271,0.3817139,0.03776399,-0.1260761,0.4040458
1447499,86728990742,0.08568949,-0.1098335,0.3864357,0.04088064,-0.131625,0.4063914
1447503,86729022193,0.08547583,-0.1359824,0.3933837,0.04070283,-0.1664496,0.3972277
1447506,86729049597,0.07530149,-0.1761021,0.3838746,0.03376235,-0.1889896,0.389979
1447509,86729075296,0.06932149,-0.1974517,0.3768076,0.03444918,-0.2010408,0.3949101
1447512,86729099955,0.07443463,-0.208906,0.3828602,0.04336403,-0.2172056,0.4061018
1447514,86729126218,0.0833122,-0.2169838,0.379204,0.05419645,-0.2243515,0.4068862
1447517,86729150034,0.08530992,-0.2140974,0.3768803,0.05928886,-0.2226521,0.4093842
1447520,86729179473,0.08648907,-0.1981361,0.3674776,0.06862177,-0.2150322,0.4040338
1447524,86729209228,0.08082817,-0.1873764,0.3539334,0.07851723,-0.2139126,0.4016979
1447526,86729237211,0.07875761,-0.1812893,0.3443472,0.07875438,-0.2139866,0.3966905
1447530,86729272889,0.07203601,-0.1692961,0.3310799,0.08122782,-0.2163371,0.3811182
1447534,86729301300,0.06869136,-0.1578764,0.3284069,0.084364,-0.2118128,0.3689192
1447536,86729328330,0.07022408,-0.1546039,0.3301889,0.08767383,-0.208294,0.3636113
1447540,86729352240,0.06717743,-0.1506042,0.3296095,0.08148783,-0.1965044,0.3479952
1447542,86729380664,0.06557055,-0.1487771,0.3310989,0.07743692,-0.1935933,0.346083
1447546,86729411546,0.05977491,-0.1477427,0.3330203,0.06783504,-0.1927144,0.3436412
1447548,86729443767,0.0584277,-0.1496423,0.337858,0.06542937,-0.1952006,0.3480912
1447553,86729471516,0.05840483,-0.153399,0.3418356,0.06303506,-0.1976679,0.3453599
1447556,86729496416,0.05879469,-0.1560908,0.3447282,0.06328918,-0.1991763,0.3469755
1447558,86729521948,0.05900237,-0.1583076,0.3482201,0.06407127,-0.2014051,0.3505368
1447562,86729553020,0.05898351,-0.1607337,0.3525361,0.06485668,-0.2039496,0.3550625
1447564,86729582775,0.05938435,-0.1604507,0.353265,0.06529023,-0.2039326,0.3555728
1447569,86729615737,0.05905453,-0.158027,0.3506442,0.06480829,-0.2016886,0.3526175
1447571,86729642982,0.05888131,-0.1569412,0.3494211,0.06460547,-0.2007383,0.3516784
1447575,86729675169,0.05855503,-0.156137,0.3481834,0.06467326,-0.1999151,0.3520699
1447577,86729696962,0.05831371,-0.1550129,0.3470876,0.0642857,-0.198827,0.3517156
1447580,86729722827,0.05810636,-0.1535763,0.3442641,0.06340874,-0.19738,0.3490049
1447583,86729750071,0.05846316,-0.1530252,0.3435755,0.06358686,-0.1970926,0.3489201
1447586,86729772231,0.05803669,-0.153304,0.3445028,0.06333595,-0.1974854,0.3501284
1447589,86729800333,0.05789177,-0.1532236,0.3447174,0.06354438,-0.1973813,0.3505146
1447592,86729832627,0.0575268,-0.1534598,0.345755,0.06350388,-0.1973917,0.3519037
1447595,86729857220,0.0574231,-0.1534468,0.3459616,0.06360789,-0.1971737,0.3523673
1447598,86729883232,0.05746407,-0.1536449,0.3458355,0.06366966,-0.1972032,0.3522869
1447601,86729908499,0.05759641,-0.153348,0.345193,0.06382526,-0.1968409,0.3510615
1447604,86729932415,0.05740158,-0.1527592,0.3449388,0.06369452,-0.1962443,0.3502212
1447607,86729959667,0.05728766,-0.1525758,0.3442923,0.06347171,-0.1961663,0.3492371
1447610,86729983816,0.05722772,-0.1523596,0.3440643,0.06324312,-0.1960217,0.3487674
1447612,86730010755,0.05742014,-0.1525344,0.3436549,0.0633274,-0.1962511,0.34826
1447615,86730038475,0.05747022,-0.1524325,0.3436995,0.06333859,-0.1961424,0.3480563
1447617,86730065538,0.05745237,-0.1525196,0.3437192,0.06333833,-0.1962287,0.3480747
1447621,86730088363,0.0574319,-0.1524758,0.3434091,0.06330672,-0.1961668,0.3480503
1447624,86730115226,0.05759007,-0.1521692,0.3432382,0.06341606,-0.1958588,0.3481192
1447626,86730141023,0.05757505,-0.1522494,0.3434024,0.06339435,-0.1959138,0.3486139
1447630,86730168732,0.05743208,-0.15183,0.343412,0.0632136,-0.1955215,0.3489601
1447633,86730196375,0.05718355,-0.1514809,0.3435228,0.06307236,-0.1952168,0.3495577
1447636,86730223611,0.05704192,-0.1513274,0.3437834,0.06310451,-0.1950864,0.3502384
1447639,86730251792,0.05693232,-0.1511173,0.3439854,0.06300129,-0.194884,0.3506222
1447642,86730276827,0.05697856,-0.1512467,0.3443537,0.06295776,-0.1950881,0.3512859
1447644,86730301188,0.05696952,-0.1512132,0.3447676,0.06280927,-0.1951091,0.3518038
1447647,86730328741,0.0570356,-0.1511618,0.3449062,0.06263289,-0.1951259,0.3522592
1447650,86730353788,0.0568814,-0.1510486,0.3446426,0.06225964,-0.1951013,0.3521971
1447653,86730380876,0.05703995,-0.1505974,0.3437593,0.06205496,-0.1945073,0.3513686
1447655,86730404422,0.05754755,-0.150489,0.3426078,0.06239564,-0.1942821,0.3502386
1447659,86730438774,0.05787767,-0.149314,0.342526,0.06257346,-0.1928191,0.3501413
1447663,86730474005,0.05748753,-0.1496483,0.3439001,0.06238241,-0.1928887,0.3521687
1447666,86730500691,0.05551122,-0.1501006,0.345377,0.06062182,-0.1930198,0.3542678
1447670,86730530174,0.05579122,-0.1501611,0.3461568,0.06127065,-0.1931164,0.3566155
1447673,86730560866,0.05455855,-0.1482857,0.3468004,0.05990034,-0.1913566,0.3589571
