id,timestamp,index_x,index_y,index_z,pinky_x,pinky_y,pinky_z
1448985,86742433270,0.04146455,-0.08185134,0.3899094,-0.004300226,-0.1200206,0.4052182
1448989,86742463404,0.04175605,-0.08173265,0.3898633,-0.004277881,-0.1197139,0.4058688
1448993,86742495346,0.04240419,-0.08151646,0.3895403,-0.003897492,-0.1190779,0.406562
1448997,86742521585,0.04251235,-0.08161688,0.3897944,-0.003924884,-0.1189221,0.4071263
1448999,86742548882,0.04265685,-0.08214029,0.3904788,-0.003726304,-0.1194538,0.4076836
1449002,86742569624,0.04255251,-0.0823994,0.3910439,-0.003845397,-0.1196849,0.4080462
1449005,86742597201,0.04261349,-0.08325964,0.3920114,-0.003548414,-0.1210861,0.4084041
1449008,86742634094,0.04249835,-0.08405247,0.3925802,-0.003260102,-0.1226982,0.4080839
1449011,86742659286,0.04232303,-0.08417657,0.3924488,-0.003092699,-0.1236954,0.4073025
1449015,86742686258,0.04224068,-0.08380832,0.3920927,-0.003078416,-0.1237368,0.4068996
1449018,86742712892,0.0420811,-0.08350818,0.3918652,-0.00324944,-0.1236246,0.4066655
1449020,86742738747,0.04181305,-0.08317584,0.3917302,-0.003543776,-0.123426,0.4066566
1449023,86742763549,0.04177985,-0.08290061,0.3917407,-0.003682625,-0.1229431,0.4070494
1449026,86742789032,0.04175847,-0.08327131,0.3921927,-0.003595095,-0.1236383,0.4072954
1449028,86742818059,0.04149234,-0.08440611,0.3927811,-0.002697557,-0.1279892,0.4059778
1449032,86742850040,0.03802532,-0.09796534,0.3982038,-0.002977848,-0.1478001,0.396648
1449036,86742877127,0.03142529,-0.1416719,0.3866311,-0.007810574,-0.1628517,0.3851796
1449038,86742907484,0.02535988,-0.1572942,0.3798819,-0.009697199,-0.1678604,0.3927349
1449042,86742935694,0.02948366,-0.1651205,0.3821593,-0.001027063,-0.1829719,0.4040755
1449045,86742962474,0.03197225,-0.1714378,0.3833882,0.009883525,-0.1907031,0.414138
1449048,86742988637,0.0255906,-0.171198,0.3741176,0.0180786,-0.1959076,0.4149403
1449050,86743011548,0.02212844,-0.1667814,0.3637814,0.0220459,-0.1967813,0.4121107
1449054,86743035507,0.01918214,-0.1522832,0.3577027,0.03440363,-0.1991664,0.4023295
1449056,86743064392,0.01848451,-0.150256,0.3547578,0.0368533,-0.1973194,0.3964251
1449059,86743094524,0.01832731,-0.145046,0.3507832,0.03791086,-0.1945683,0.385049
1449063,86743119066,0.01740346,-0.1415354,0.3490364,0.03508972,-0.18874,0.3708957
1449065,86743146589,0.01698392,-0.1403065,0.3491268,0.03184376,-0.1851584,0.3658823
1449069,86743171688,0.01574689,-0.1390943,0.3500576,0.02529856,-0.1838382,0.3580309
1449071,86743197125,0.01576753,-0.1394856,0.3516558,0.02320452,-0.1845805,0.3558819
1449074,86743223676,0.01588714,-0.1403968,0.3528003,0.02238845,-0.1840352,0.35094
1449078,86743253724,0.0157897,-0.1421924,0.3541538,0.02309742,-0.1854875,0.3521456
1449080,86743281743,0.01631543,-0.144101,0.3566596,0.02387187,-0.1874553,0.3550716
1449084,86743312088,0.01661025,-0.1455341,0.3591392,0.02440268,-0.1889823,0.3578871
1449087,86743339701,0.01745314,-0.1456972,0.3607122,0.02489713,-0.189234,0.3593935
1449090,86743367819,0.01782446,-0.1458442,0.3616437,0.02496187,-0.1896403,0.3600887
1449093,86743389021,0.01827643,-0.1453306,0.3607156,0.02513397,-0.1891818,0.3593837
1449095,86743417710,0.01846691,-0.1452818,0.3601665,0.02534522,-0.1890906,0.3590265
1449099,86743442799,0.01831605,-0.1448233,0.3597499,0.02535688,-0.1884908,0.3588829
1449101,86743469835,0.01800083,-0.1439773,0.3585917,0.02510863,-0.1876779,0.3576831
1449104,86743494261,0.0175531,-0.1433713,0.3575106,0.024904,-0.1869839,0.3566525
1449107,86743522757,0.01724543,-0.142411,0.3571487,0.02456331,-0.1860984,0.355868
1449110,86743544704,0.0171084,-0.1417686,0.3571244,0.02454051,-0.1855256,0.3553254
1449112,86743573719,0.01694748,-0.1414272,0.3574789,0.02433545,-0.1851758,0.3555913
1449116,86743597772,0.01670449,-0.1414041,0.3577368,0.02420925,-0.1851458,0.3560799
1449118,86743623483,0.01661829,-0.1412719,0.3581259,0.02420666,-0.184958,0.3566124
1449122,86743649087,0.01648139,-0.1410935,0.3577079,0.02420501,-0.184686,0.3564181
1449124,86743678121,0.01663413,-0.140977,0.3577141,0.02432846,-0.1845495,0.3564282
1449127,86743702191,0.01651179,-0.141112,0.3576418,0.02422861,-0.1846298,0.3563176
1449130,86743730886,0.01669769,-0.1410167,0.3576487,0.02440746,-0.184582,0.3563103
1449133,86743755658,0.01678457,-0.1410541,0.3574774,0.02446679,-0.1845812,0.3559964
1449136,86743783210,0.01677624,-0.1412241,0.3573751,0.02447107,-0.1847675,0.3558515
1449140,86743815663,0.01679136,-0.1413401,0.3575535,0.02453254,-0.1848544,0.3558989
1449142,86743842407,0.01690725,-0.1413198,0.3576645,0.02467154,-0.1847757,0.3559831
1449145,86743875543,0.01676066,-0.1411187,0.3573079,0.02457912,-0.1844625,0.3556295
1449149,86743907824,0.01665319,-0.1410602,0.3574502,0.02454072,-0.1843103,0.3558029
1449153,86743933430,0.01654154,-0.1409689,0.3578015,0.02448045,-0.1842238,0.3560948
1449155,86743960806,0.01643248,-0.1406737,0.3580609,0.02440083,-0.1838915,0.3562729
1449159,86743994150,0.01658283,-0.1405408,0.3585785,0.02453211,-0.1838201,0.3565825
1449162,86744020709,0.01670703,-0.1403714,0.3590972,0.02473836,-0.1836747,0.3571058
1449166,86744046546,0.01690144,-0.1401914,0.3595513,0.02510303,-0.1834188,0.3577343
1449168,86744074353,0.01705034,-0.1398584,0.3595953,0.02536036,-0.1830253,0.3582234
1449171,86744099146,0.01722343,-0.1390793,0.3588495,0.02563012,-0.1821553,0.358465
1449173,86744126271,0.01719979,-0.1376103,0.3585882,0.02554458,-0.180625,0.3591272
1449176,86744150208,0.01784342,-0.1359941,0.3585944,0.02568147,-0.1788102,0.3611289
1449180,86744181922,0.02171043,-0.1322171,0.354667,0.02738045,-0.175258,0.3588506
1449183,86744208669,0.02285339,-0.1354608,0.356229,0.02296282,-0.1738504,0.377764
1449186,86744236151,0.02382829,-0.1457759,0.3661251,8.683652E-05,-0.1652067,0.4120975
1449189,86744264822,0.02677948,-0.1529748,0.3774151,-0.01218356,-0.1611821,0.4075767
1449192,86744289401,0.03304919,-0.1464473,0.3974872,-0.003956363,-0.1698589,0.3932751
1449196,86744320517,0.0280838,-0.1122713,0.4317916,-0.004759662,-0.171404,0.4004585
1449198,86744347237,0.02418361,-0.1013681,0.4329346,-0.005403724,-0.1742597,0.4023958
1449201,86744374269,0.0220513,-0.09415396,0.431115,-0.00713633,-0.1735413,0.4113251
1449204,86744398643,0.02182848,-0.09177661,0.430117,-0.009834472,-0.1682035,0.4206558
1449207,86744420389,0.02314981,-0.0924397,0.4294137,-0.009986162,-0.1665762,0.4211387
1449209,86744447080,0.02451507,-0.093602,0.4284026,-0.008664686,-0.1687192,0.4184936
1449213,86744478083,0.02923412,-0.09954936,0.4262377,-0.005191356,-0.1748245,0.410759
1449216,86744507933,0.03306972,-0.104782,0.4247397,-0.002994768,-0.1767768,0.401067
1449219,86744533451,0.03637323,-0.1069986,0.4223234,-0.001524184,-0.1763732,0.3950713
1449222,86744561404,0.03780264,-0.1103429,0.420105,-0.0006530024,-0.1753981,0.39478
1449225,86744587274,0.0387149,-0.1143182,0.4184759,-0.0003134161,-0.1748356,0.3945687
1449229,86744616212,0.04085841,-0.1178497,0.4171821,-2.905726E-06,-0.1744772,0.3936794
