ID, timestamp
349, 9.537711
350, 9.556856
351, 9.570105
352, 9.593346
353, 9.612329
354, 9.620988
355, 9.639784
356, 9.679913
357, 9.699207
358, 9.707418
359, 9.715623
360, 9.727256
361, 9.738878
362, 9.755945
363, 9.770449
364, 9.800321
365, 9.820403
366, 9.838565
367, 9.865404
368, 9.873593
369, 9.887031
370, 9.903065
371, 9.919288
372, 9.942787
373, 9.954101
374, 9.972888
375, 9.987074
376, 10.01029
377, 10.02482
378, 10.03809
379, 10.05476
380, 10.07532
381, 10.08898
382, 10.10361
383, 10.12084
384, 10.1427
385, 10.15376
386, 10.19854
387, 10.23167
388, 10.23974
389, 10.24812
390, 10.25616
391, 10.28488
392, 10.29316
393, 10.30621
394, 10.32004
395, 10.34916
396, 10.35892
397, 10.37191
398, 10.38919
399, 10.41427
400, 10.4237
401, 10.43927
402, 10.46124
403, 10.4831
404, 10.49133
405, 10.50464
406, 10.52032
407, 10.54969
408, 10.55965
409, 10.56992
410, 10.58639
411, 10.6037
412, 10.62685
413, 10.63956
414, 10.65335
415, 10.70232
416, 10.7294
417, 10.73751
418, 10.74593
419, 10.76285
420, 10.77309
421, 10.7885
422, 10.84315
423, 10.85373
424, 10.87158
425, 10.88864
426, 10.91019
427, 10.92092
428, 10.93857
429, 10.95514
430, 10.97644
431, 10.98747
432, 11.00631
433, 11.02251
434, 11.04551
435, 11.05705
436, 11.07243
437, 11.08844
438, 11.1094
439, 11.12136
440, 11.13912
441, 11.15387
442, 11.20036
443, 11.22382
444, 11.23208
445, 11.24758
446, 11.25897
447, 11.27071
448, 11.29061
449, 11.31623
450, 11.3244
451, 11.34011
452, 11.35406
453, 11.38411
454, 11.39517
455, 11.40346
456, 11.42395
457, 11.44784
458, 11.45665
459, 11.4733
460, 11.4855
461, 11.51686
462, 11.52604
463, 11.53882
464, 11.55708
465, 11.57101
466, 11.59335
467, 11.60465
468, 11.62284
469, 11.6398
470, 11.65925
471, 11.67296
472, 11.71359
473, 11.74657
474, 11.75472
475, 11.76293
476, 11.77389
477, 11.79858
478, 11.83193
479, 11.84403
480, 11.86569
481, 11.87428
482, 11.888
483, 11.9035
484, 11.93436
485, 11.94393
486, 11.95473
487, 11.97301
488, 11.988
489, 12.01293
490, 12.02511
491, 12.03957
492, 12.05695
493, 12.07858
494, 12.0891
495, 12.10635
496, 12.12155
497, 12.14331
498, 12.15365
499, 12.17189
500, 12.21845
501, 12.23965
502, 12.24796
503, 12.25876
504, 12.27603
505, 12.28843
506, 12.30442
507, 12.32088
508, 12.34286
509, 12.35619
510, 12.37174
511, 12.39083
512, 12.41477
513, 12.42751
514, 12.4383
515, 12.45902
516, 12.47655
517, 12.48775
518, 12.50656
519, 12.52057
520, 12.54428
521, 12.55695
522, 12.57143
523, 12.58625
524, 12.60988
525, 12.62194
526, 12.6396
527, 12.65389
528, 12.67818
529, 12.68901
530, 12.73304
531, 12.76744
532, 12.7769
533, 12.78537
534, 12.79352
535, 12.81512
536, 12.84852
537, 12.85771
538, 12.88141
539, 12.89435
540, 12.90459
541, 12.92314
542, 12.94866
543, 12.95723
544, 12.97369
545, 12.98799
546, 13.0177
547, 13.02662
548, 13.03664
549, 13.05785
550, 13.08167
551, 13.09336
552, 13.10705
553, 13.12373
554, 13.14739
555, 13.15552
556, 13.17286
557, 13.18757
558, 13.2366
559, 13.2562
560, 13.26444
561, 13.27264
562, 13.29493
563, 13.30528
564, 13.32347
565, 13.33747
566, 13.3596
567, 13.37316
568, 13.38962
569, 13.40517
570, 13.43115
571, 13.44234
572, 13.45531
573, 13.47306
574, 13.49268
575, 13.50542
576, 13.52245
577, 13.53844
578, 13.56034
579, 13.57073
580, 13.58838
581, 13.60693
582, 13.62653
583, 13.64003
584, 13.65375
585, 13.67314
586, 13.69308
587, 13.70568
588, 13.74687
589, 13.77943
590, 13.78774
591, 13.79588
592, 13.8077
593, 13.84925
594, 13.85839
595, 13.87217
596, 13.90083
597, 13.90907
598, 13.92557
599, 13.93828
600, 13.96702
601, 13.97848
602, 13.98836
603, 14.00399
604, 14.03491
605, 14.04435
606, 14.05756
607, 14.07526
608, 14.10099
609, 14.11046
610, 14.12298
611, 14.14036
612, 14.17502
613, 14.19244
614, 14.20061
615, 14.20988
616, 14.22241
617, 14.26981
