id,timestamp,index_x,index_y,index_z,pinky_x,pinky_y,pinky_z
1440533,86666003549,0.04340036,-0.04367767,0.3432376,-0.01493464,-0.05421731,0.3740348
1440538,86666045214,0.04345628,-0.04366957,0.3432612,-0.01495367,-0.0541758,0.3741016
1440539,86666061923,0.04347938,-0.04361413,0.3432428,-0.01496733,-0.05409039,0.3740942
1440541,86666078227,0.04349284,-0.04361904,0.3432983,-0.01497754,-0.05405642,0.3741364
1440544,86666099421,0.04350892,-0.04362655,0.343283,-0.01495047,-0.05403975,0.3741263
1440545,86666115358,0.04351804,-0.04360336,0.3432878,-0.01493195,-0.05399422,0.3741454
1440548,86666135806,0.04356395,-0.04356777,0.343317,-0.01490508,-0.05385574,0.3741543
1440549,86666151535,0.04357502,-0.04356524,0.3433204,-0.01492882,-0.05378975,0.3741707
1440551,86666164803,0.04356959,-0.04356952,0.3433091,-0.01496292,-0.0537479,0.3741883
1440552,86666179798,0.04359149,-0.04355318,0.3432751,-0.01495224,-0.05372743,0.3741925
1440554,86666196081,0.04362859,-0.04350309,0.3432334,-0.01493028,-0.05368541,0.3741939
1440556,86666214829,0.04369479,-0.04350759,0.343232,-0.01483761,-0.05368074,0.3741789
1440558,86666228830,0.0437352,-0.04355188,0.3432056,-0.01481667,-0.0536755,0.3741527
1440560,86666246626,0.04380075,-0.0436786,0.3432089,-0.0147951,-0.05368796,0.3741421
1440562,86666267141,0.04385464,-0.04379437,0.3432558,-0.01484496,-0.05364038,0.3741682
1440564,86666285357,0.04393097,-0.04386338,0.3433232,-0.0147824,-0.05369783,0.3742101
1440566,86666302537,0.04401418,-0.04385339,0.3433908,-0.01475618,-0.05361082,0.3742563
1440568,86666319677,0.04402279,-0.04394181,0.343398,-0.01475162,-0.05365617,0.3742229
1440570,86666337046,0.04404229,-0.04402066,0.34342,-0.01473093,-0.05370883,0.3742281
1440572,86666353615,0.04405554,-0.04406518,0.3434616,-0.01471345,-0.05375323,0.3742594
1440573,86666368552,0.04402055,-0.04407756,0.3434719,-0.01475485,-0.05377633,0.3742562
1440576,86666388349,0.04402329,-0.04397066,0.34343,-0.01475242,-0.05368144,0.374212
1440578,86666411583,0.04401047,-0.04386718,0.3434632,-0.01476781,-0.05357402,0.3742212
1440580,86666432722,0.04396316,-0.04379969,0.3435059,-0.01476443,-0.05356789,0.3742118
1440583,86666456905,0.04392096,-0.04375222,0.3435145,-0.01471853,-0.05365747,0.3741551
1440585,86666478117,0.04394667,-0.04370034,0.3435038,-0.01466018,-0.05367982,0.3741411
1440588,86666499135,0.04396336,-0.04369884,0.3435383,-0.01464428,-0.053704,0.3741687
1440590,86666522516,0.04395153,-0.04374467,0.343547,-0.01468945,-0.05375663,0.3741909
1440593,86666543481,0.04399577,-0.04378796,0.343475,-0.01466483,-0.0538104,0.3741274
1440595,86666568464,0.04406936,-0.0438077,0.3434363,-0.01458184,-0.05380195,0.3740658
1440598,86666588167,0.04417394,-0.04388423,0.3434212,-0.01450651,-0.0537126,0.3740617
1440600,86666612289,0.04426094,-0.04398034,0.3433632,-0.01446794,-0.05366115,0.3740415
